epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,99.644,0.83007,0.9436,0.0078,0.60318,0.65312,0.76089,0.55196,1.73954,1.39677,0.01357,2.55731e-05,2.55731e-05,2.55731e-05
72,101.194,1.01294,0.85724,0.00928,0.62039,0.65846,0.78833,0.56535,1.74118,1.37375,0.01355,2.5102e-05,2.5102e-05,2.5102e-05
73,102.847,0.76398,1.23438,0.01053,0.62039,0.65846,0.78833,0.56535,1.74118,1.37375,0.01355,2.46073e-05,2.46073e-05,2.46073e-05
74,104.363,0.93589,1.24685,0.01131,0.62039,0.65846,0.78833,0.56535,1.74118,1.37375,0.01355,2.40891e-05,2.40891e-05,2.40891e-05
75,105.802,1.13452,1.56278,0.01917,0.61952,0.64091,0.76088,0.55326,1.77354,1.34591,0.01418,2.35472e-05,2.35472e-05,2.35472e-05
76,107.17,0.96253,0.87227,0.0122,0.61952,0.64091,0.76088,0.55326,1.77354,1.34591,0.01418,2.29819e-05,2.29819e-05,2.29819e-05
77,108.728,1.01369,0.99251,0.01063,0.61952,0.64091,0.76088,0.55326,1.77354,1.34591,0.01418,2.23929e-05,2.23929e-05,2.23929e-05
78,110.285,1.13478,1.59437,0.01448,0.93674,0.45401,0.76309,0.54382,1.79013,1.4338,0.01465,2.17805e-05,2.17805e-05,2.17805e-05
79,111.716,0.69593,0.74287,0.00734,0.93674,0.45401,0.76309,0.54382,1.79013,1.4338,0.01465,2.11444e-05,2.11444e-05,2.11444e-05
80,113.233,0.90181,0.85935,0.01076,0.93674,0.45401,0.76309,0.54382,1.79013,1.4338,0.01465,2.04848e-05,2.04848e-05,2.04848e-05
81,114.77,0.88122,0.9149,0.0151,0.76062,0.45644,0.76632,0.55089,1.78618,1.41289,0.01447,1.98016e-05,1.98016e-05,1.98016e-05
82,116.189,0.78291,0.53976,0.01251,0.76062,0.45644,0.76632,0.55089,1.78618,1.41289,0.01447,1.90949e-05,1.90949e-05,1.90949e-05
83,117.613,0.91324,1.90504,0.01212,0.76062,0.45644,0.76632,0.55089,1.78618,1.41289,0.01447,1.83646e-05,1.83646e-05,1.83646e-05
84,119.044,0.76099,0.99753,0.01169,0.93593,0.45511,0.69565,0.48141,1.80909,1.50673,0.01506,1.76107e-05,1.76107e-05,1.76107e-05
85,120.463,0.87327,1.3168,0.00954,0.93593,0.45511,0.69565,0.48141,1.80909,1.50673,0.01506,1.68333e-05,1.68333e-05,1.68333e-05
86,121.869,1.20616,1.97423,0.0234,0.93593,0.45511,0.69565,0.48141,1.80909,1.50673,0.01506,1.60323e-05,1.60323e-05,1.60323e-05
87,123.247,1.10578,1.36115,0.01381,0.93593,0.45511,0.69565,0.48141,1.80909,1.50673,0.01506,1.52077e-05,1.52077e-05,1.52077e-05
